
#Curve 0 of 1, 50 points
#x y type
0.00000 0.00000  u
0.02041 0.07413  i
0.04082 0.08237  i
0.06122 0.09181  i
0.08163 0.10262  i
0.10204 0.11501  i
0.12245 0.12923  i
0.14286 0.14555  i
0.16327 0.16426  i
0.18367 0.18569  i
0.20408 0.21020  i
0.22449 0.23816  i
0.24490 0.26994  i
0.26531 0.30591  i
0.28571 0.34640  i
0.30612 0.39165  i
0.32653 0.44180  i
0.34694 0.49682  i
0.36735 0.55645  i
0.38776 0.62017  i
0.40816 0.68716  i
0.42857 0.75630  i
0.44898 0.82617  i
0.46939 0.89517  i
0.48980 0.96157  i
0.51020 1.02369  i
0.53061 1.08004  i
0.55102 1.12941  i
0.57143 1.17098  i
0.59184 1.20436  i
0.61224 1.22955  i
0.63265 1.24690  i
0.65306 1.25700  i
0.67347 1.26064  i
0.69388 1.25868  i
0.71429 1.25201  i
0.73469 1.24147  i
0.75510 1.22785  i
0.77551 1.21184  i
0.79592 1.19405  i
0.81633 1.17496  i
0.83673 1.15502  i
0.85714 1.13455  i
0.87755 1.11382  i
0.89796 1.09306  i
0.91837 1.07243  i
0.93878 1.05205  i
0.95918 1.03202  i
0.97959 1.01241  i
1.00000 0.99326  i

